Sampled,Tree1h0,Tree2h0,Tree3h0,Tree4h0,Tree5h0,Tree6h0,Tree7h0,Tree8h0,Tree9h0,Tree10h0,Tree11h0,Tree12h0,Tree2h80,Tree3h80,Tree4h80,Tree6h80,Tree8h80,Tree9h80,Tree11h80,Tree12h80,Tree2h170,Tree3h170,Tree4h170,Tree6h170,Tree8h170,Tree9h170,Tree11h170,Tree12h170
2017-07-18,,21.921,0.789,9.06,,3.347,,0.903,,,,,5.547,0,0,3.457,1.06,,,,0.612,0,1.096,0.661,0.045,,,
2017-07-20,3.44,23.957,2.422,9.66,0.953,3.097,5.405,0.726,0.749,0,2.042,0.368,4.745,0.286,3.305,0.82,0,0,2.507,0,1.967,2.672,0.567,0.394,0,6.075,0,0
2017-07-24,2.858,11.62,0.287,10.763,0,1.793,5.722,0,2.04,1.452,0,0.135,3.474,0.954,2.87,0.213,0,0.196,0.42,1.182,2.535,0,1.107,1.435,0,0,0,0
2017-07-26,0,7.405,0,0.857,0,1.056,4.758,0,1.386,0.217,0,0,6.267,5.035,1.673,2.968,0,0,0.462,0.315,5.648,0.935,1.639,0,0,0,0,0.565
2017-07-27,0,4.38,3.769,6.07,0.277,1.073,4.234,1.704,0.114,0,0.036,0,1.343,0,2.031,0,0.435,0.267,0,0,0.854,0,0,0,0.349,0.417,0,0.594
2017-07-31,0.634,3.298,0.292,5.474,0,0,0.181,0,0.516,0,0,0,1.266,0.471,1.628,0,0,0.868,0.515,0,1.451,0.206,0.531,0,0,0,1.086,0.137
2017-08-02,0.591,2.845,0.256,4.568,0,0,1.778,0,0.186,0,0,0,1.037,14.127,0.744,0,0,1.282,0.171,0.037,0,0.491,0.652,0.164,0.101,0.604,0,0.191
2017-08-03,0.49,2.803,0,4.408,0.098,0.914,1.517,0,0.716,2.143,0,0,1.001,0.489,1.573,0.733,1.714,0,0.167,0,0.808,0.132,0.443,0,0,0.283,0,0.942
2017-08-07,0,8.444,1.189,5.625,0.586,0.11,2.185,1.29,0.324,0,0.054,0.952,1.646,0.677,2.78,0,1.588,0,0.89,0.055,7.133,0,0,0,0,0.468,0.021,0.744
2017-08-09,1.066,30.135,0.727,7.208,0.804,2.098,6.29,2.103,0.742,0.471,0,0,4.209,0.05,0.937,0,0.355,0.779,0,0,2.041,0.019,1.014,0.21,0,0.182,0,0.137
2017-08-10,,,,,,9.166,17.578,6.482,0,0.446,0,0.932,,,,0,0,0,0,0.103,,,,0.547,0.677,2.631,0,0.115
2017-08-14,10.176,129.356,18.53,74.272,3.756,28.784,25.581,5.565,1.107,0,0.03,3.022,15.21,9.678,19.372,6.221,0,0,0,0.162,6.7,1.944,4.244,2.253,0,0.988,0,0
2017-08-16,8.664,130.019,23.08,96.43,5.43,26.432,27.964,6.793,0.674,0.06,0.521,1.389,17.511,10.488,24.194,0,1.847,0.219,0,0.991,7.9,2.97,6.111,2.26,0.764,0,0.208,0
2017-08-18,7.463,152.148,0,0,1.189,31.544,28.407,4.583,1.48,0.153,0.177,0.688,0,12.25,32.987,6,0.302,1.535,0.032,0.861,7.363,2.045,6.006,2.574,0.571,0,0,0.058
2017-08-21,31.502,465.699,141.808,203.861,12.893,94.976,59.269,22.305,2.941,0,0,38.56,85.537,41.074,82.473,24.523,1.851,0,0,6.548,25.555,7.049,19.842,7.762,0.688,0.412,0.248,0.628
2017-08-23,56.682,535.522,265.155,535.297,43.502,159.78,129.944,18.383,0,0,0.203,13.279,145.779,89.902,222.465,39.609,3.792,0.111,0.542,6.359,53.817,12.411,55.075,8.855,0.998,0.741,0,2.129
2017-08-24,88.155,791.4,732.323,742.616,55.868,218.992,148.643,29.289,23.98,0.726,4.093,42.912,324.326,349.881,435.302,41.155,13.704,1.259,2.26,25.824,83.864,41.911,100.905,19.586,3.157,0.295,0.12,5.583
2017-08-28,26.815,237.921,39.732,217.847,19.305,92.491,71.456,53.493,9.47,0.154,1.456,83.892,252.486,40.992,61.701,20.85,1.937,0.133,0,11.128,22.199,8.682,19.937,8.566,1.325,0.757,0,0.783
2017-08-31,22.959,92.857,52.492,141.203,11.781,36.636,6.827,20.47,7.818,1.151,0,50.773,149.139,26.491,31.785,9.948,5.885,0.211,0,5.505,18.131,0,0,6.003,1.61,0.224,0.406,0
2017-09-18,120.269,1813.083,994.163,409.539,63.718,294.672,233.982,364.808,2.349,7.671,16.843,420.754,433.734,241.089,101.652,44.029,36.493,0.172,0.925,35.691,72.746,38.844,56.027,15.065,6.717,1.384,0.6,6.1
2017-09-25,59.54,612.148,32.02,200.996,21.048,82.473,47.378,115.748,32.838,3.228,10.133,44.087,147.882,96.151,87.981,30.219,27.177,1.771,1.431,16.081,42.426,17.835,21.901,10.71,5.754,0.964,0.241,0.147
