Sampled,Tree1h0,Tree2h0,Tree3h0,Tree4h0,Tree5h0,Tree6h0,Tree7h0,Tree8h0,Tree12h0,Tree2h80,Tree3h80,Tree4h80,Tree6h80,Tree8h80,Tree12h80,Tree2h170,Tree3h170,Tree4h170,Tree6h170,Tree8h170,Tree12h170,Tree9h0,Tree10h0,Tree11h0,Tree9h80,Tree11h80,Tree9h170,Tree11h170,TSYS,TAIR
2017-07-05,0.2895,0.5233,0.3022,1.0331,0.6303,0.4593,0.6619,0.684,,0.2464,0.5427,0.6433,0.4083,0.6648,,0.1872,0.5475,0.5173,0.6703,0.5433,,0.4805,1.6494,0.335,0.2534,0.947,0.4662,0.564,25,
2017-07-20,0.2695,0.932,0.5308,0.5887,0.6484,0.8975,0.3364,0.7497,0.4781,0.3635,0.6343,0.5619,0.3778,0.5704,0.426,0.4955,0.5233,0.6141,0.2824,0.4549,0.5012,0.2444,0.7636,0.4754,0.2398,0.419,0.2772,0.3025,25,
2017-07-24,0.1939,1.0004,0.9459,0.6686,0.865,0.8244,0.6562,0.9568,0.3115,0.5164,0.9841,0.9635,0.4824,0.6426,0.3914,0.4641,0.7055,0.6831,0.4477,0.56,0.3511,0.3975,1.1615,0.4653,0.2811,0.397,0.3247,0.2872,25,
2017-07-26,0.2385,1.2529,1.0461,1.0122,0.8334,1.1031,0.6878,1.3786,0.6314,0.7164,0.8799,0.8675,0.4347,1.2502,0.3813,0.6228,0.8551,0.7614,0.8118,1.4201,,0.3403,0.7398,0.3445,0.3189,0.4248,0.5255,0.3859,25,
2017-07-27,0.1599,1.126,0.8538,0.9659,0.8844,0.4928,0.6364,1.2658,0.334,0.446,0.6995,0.8586,0.4165,0.5643,0.4121,1.0344,0.8504,0.8223,1.0648,0.7501,0.6356,0.2568,0.8783,0.2625,0.3818,0.4599,0.5783,0.4938,25,
2017-07-28,0.8107,1.0054,0.5988,1.158,,,,,,0.6703,1.3755,1.6667,,,,2.062,0.9538,0.5415,,,,,,,,,,,25,
2017-07-31,0.2201,1.0697,0.4885,1.203,0.8086,0.5421,0.5271,0.7932,0.2751,0.6677,1.7595,0.6729,0.4257,0.7142,0.3518,0.4931,0.7667,0.5863,0.7319,0.6013,0.4015,0.2576,0.5819,0.4336,0.2574,0.225,0.4898,0.2926,25,
2017-08-02,0.4255,0.9308,0.6493,0.6047,0.6875,0.7133,0.7671,0.7533,0.3991,0.5094,0.6987,0.5923,0.3832,0.6076,0.478,0.3548,0.7064,0.5832,0.6237,0.5391,0.4313,0.277,0.445,0.2945,0.204,0.4103,0.5806,0.3484,25,
2017-08-03,0.124,0.8778,0.4617,0.6873,0.6785,0.7893,0.4016,0.9038,0.3901,0.4366,0.6514,0.6581,0.3015,0.6322,0.3705,0.6527,0.7484,0.7029,0.4123,0.5565,0.3694,0.4629,0.5986,0.5231,0.2553,0.4018,0.5259,0.363,25,
2017-08-07,0.2618,0.7319,0.4699,0.9337,0.5661,0.7371,0.3856,0.6889,0.3827,0.3042,0.5974,0.6915,0.3641,0.442,0.2361,0.24,0.5483,0.539,0.4331,0.3545,0.2438,0.2672,0.6697,0.2127,0.1878,0.2753,0.3458,0.2962,25,
2017-08-09,0.2115,0.7221,0.6267,0.9495,0.6427,0.6223,0.507,0.7688,0.2826,0.4622,0.6773,0.7914,0.3133,0.6872,0.2863,0.2599,0.5074,0.706,0.4771,0.3784,0.331,0.3377,0.6173,0.1659,0.1643,0.1847,0.3414,0.1619,20,
2017-08-09,0.2115,0.7221,0.6267,0.9495,0.6427,0.6223,0.507,0.7688,0.2826,0.4622,0.6773,0.7914,0.3133,0.6872,0.2863,0.2599,0.5074,0.706,0.4771,0.3784,0.331,0.3377,0.6173,0.1659,0.1643,0.1847,0.3414,0.1619,20,
2017-08-10,0.1358,0.827,0.8981,0.7111,0.8354,1.0882,0.5977,0.9085,0.5444,0.3978,0.5645,0.55,0.4647,0.5459,0.5997,0.2787,0.7374,0.5316,0.5279,0.4602,0.3722,0.3857,0.7791,0.4714,0.3929,0.5086,,0.2905,20,
2017-08-14,0.1905,0.7683,0.5554,1.1376,0.5989,0.6266,0.6656,0.6658,0.331,0.3977,0.6455,0.826,0.3939,0.3927,0.146,0.4324,0.5603,0.5996,0.5412,0.5054,0.1616,0.2757,0.5082,0.2812,0.1617,0.2128,0.2814,0.2314,20,
2017-08-16,0.2466,0.9209,0.722,1.2334,0.7465,0.8182,0.5895,0.5967,0.2707,0.3749,0.6651,0.8194,0.4428,0.5139,0.2533,0.2423,0.6102,0.4864,0.4969,0.4837,0.2254,0.3641,0.6478,0.3782,0.2601,0.2861,0.4525,0.2664,20,
2017-08-17,0.315,1.2127,0.7639,1.3206,0.741,0.7992,0.6607,0.6907,0.233,0.4549,0.8924,1.1624,0.604,0.581,0.2673,0.5123,0.6755,0.7667,1.3171,0.5147,0.229,0.2316,0.6675,0.4771,0.3374,0.2166,0.3854,0.6517,20,
2017-08-21,0.2166,0.9606,0.9577,1.3546,0.7357,0.959,0.5628,0.4911,0.2262,0.4026,0.592,0.9598,0.2162,0.4031,0.4276,0.5201,0.6536,0.8424,0.8807,0.4062,0.2419,0.1818,0.6265,0.3545,0.2604,0.1802,0.3473,0.1103,15,
2017-08-23,0.2639,0.8452,1.0225,1.3546,0.3879,0.9171,0.7248,0.6448,0.2264,0.6767,0.7245,0.8849,0.5043,0.3639,0.3058,0.5097,0.5383,0.6822,0.4835,0.3758,0.1866,0.5932,0.4097,0.3589,0.1557,0.3588,0.2105,0.2291,15,
2017-08-24,0.2687,0.8727,1.0105,1.5965,0.6792,0.8548,0.6446,0.7487,0.3336,0.4164,0.8246,1.2321,0.4466,0.4671,0.3474,0.3757,0.664,0.6925,0.6188,0.4475,0.2347,0.2722,0.7337,0.3585,0.1691,0.2711,0.2724,0.2042,15,
2017-08-28,0.1518,0.6199,0.435,0.8983,0.5184,0.8297,0.4462,0.571,0.2276,0.1784,0.4171,0.5415,0.3383,0.5154,0.2382,0.1477,0.2937,0.3126,0.3181,0.1711,0.1059,0.219,0.5087,0.2004,0.0913,0.1456,0.2335,0.1661,15,
2017-08-31,0.1948,0.8095,0.6347,0.9708,0.5987,0.7758,0.482,0.7262,0.4107,0.2477,0.5379,0.8186,0.3047,0.4082,0.208,0.2925,0.5315,0.5286,1.2547,0.3836,0.2377,0.1954,0.479,0.2231,0.0498,0.1924,0.2234,0.0858,15,
2017-09-18,0.1716,0.6329,0.6499,0.6202,0.3434,0.4953,0.4167,0.8639,,0.3689,0.2699,0.3406,0.1448,0.2369,,0.1861,0.1766,0.1524,0.146,0.1854,,0.2179,0.4182,0.0101,0.0975,0.1798,0.1441,-0.0091,11,
2017-09-17,0.163,0.4406,0.4188,0.7017,0.3337,0.6598,0.394,0.5323,0.2478,0.0882,0.2006,0.2538,0.1652,0.1438,0.0646,0.0826,0.1393,0.2375,0.3337,0.1268,0.0449,0.1898,0.3223,0.1976,0.0749,0.0612,0.1301,0.0637,13,
2017-10-02,0.1546,0.4775,0.3013,0.4867,0.2416,0.5208,0.3036,0.4291,0.1002,0.1178,0.2064,0.218,0.1912,0.182,0.0794,0.0832,0.1673,0.1568,0.2831,0.0793,0.0351,0.1688,0.2724,0.172,0.0568,0.0781,0.0989,0.0946,8,
2017-10-09,0.1756,0.5042,0.5871,0.6637,0.3962,0.574,0.4458,0.621,0.1405,0.1446,0.3005,0.2711,0.2072,0.1045,0.1143,0.0701,0.2684,0.1977,0.1602,0.1125,0.0938,0.1253,0.3981,0.1962,0.1332,0.0951,0.1532,0.0187,8,
2017-10-19,0.1435,0.2757,0.2585,0.6727,0.2093,0.5287,0.275,0.3573,0.0924,0.035,0.1526,0.0875,0.1027,0.0364,0.075,0.0916,0.0394,0.051,0.0677,0.067,0.0164,0.1085,0.2276,0.1455,0.0351,0.0242,-0.0454,0.0274,6,
2017-10-23,0.067,0.2214,0.2473,0.3521,0.1692,0.3351,0.2429,0.2722,0.0696,0.0455,0.1092,0.1129,0.0757,0.0669,0.0224,0.0361,0.0953,0.0676,0.0587,0.0374,0.1416,0.1147,0.164,0.1016,0.1686,0.0248,0.0224,0.0081,1,
